CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Unnamed: 19
771071958,41.0,F,3,Graduate,Single,Less than $40K,,28.0,6.0,1,2,7768.0,1669,0.797,1051,22,0.833,0.215,
720466383,59.0,M,1,High School,Unknown,$40K - $60K,,46.0,4.0,1,2,14784.0,1374,0.921,1197,23,1.3,0.093,
804424383,63.0,M,1,Unknown,,$60K - $80K,Blue,56.0,3.0,3,2,10215.0,1010,0.843,1904,40,1.0,0.099,
718813833,44.0,F,3,Uneducated,Single,Unknown,Blue,34.0,5.0,2,2,10100.0,0,0.525,1052,18,1.571,0.0,
806624208,47.0,M,4,High School,,$40K - $60K,Blue,42.0,6.0,0,0,4785.0,1362,0.739,1045,38,0.9,0.285,
778348233,53.0,M,3,Unknown,Married,$80K - $120K,Blue,33.0,3.0,2,3,2753.0,1811,0.977,1038,25,2.571,0.658,
712991808,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48.0,2.0,5,1,2451.0,1690,1.323,1596,26,1.6,0.69,
709029408,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36.0,4.0,1,2,8923.0,2517,1.726,1589,24,1.667,0.282,
788658483,53.0,F,2,College,Married,Less than $40K,Blue,38.0,5.0,2,3,2650.0,1490,1.75,1411,28,1.0,0.562,
787937058,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2,2,12555.0,1696,0.519,1291,24,0.714,0.135,
715318008,55.0,F,1,College,Single,Less than $40K,Blue,36.0,4.0,2,1,3520.0,1914,0.51,1407,43,0.483,0.544,
713962233,55.0,F,3,Graduate,Married,Less than $40K,Blue,36.0,6.0,2,3,3035.0,2298,1.724,1877,37,1.176,0.757,
785432733,42.0,F,4,High School,Married,Less than $40K,Gold,36.0,2.0,3,3,15433.0,0,0.865,966,22,1.2,0.0,
715190283,57.0,F,1,Graduate,Unknown,$40K - $60K,Blue,49.0,,3,2,3672.0,886,1.32,1464,28,0.556,0.241,
708300483,66.0,F,0,Doctorate,,Unknown,Blue,56.0,5.0,4,3,7882.0,605,1.052,704,16,0.143,0.077,
827111283,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41.0,2.0,2,2,32426.0,578,1.042,1109,28,0.474,0.018,
758551608,51.0,M,2,Unknown,Married,$40K - $60K,,44.0,4.0,1,0,6205.0,2204,0.803,1347,28,0.556,0.355,
773146383,50.0,,1,College,Single,$40K - $60K,Silver,43.0,3.0,2,3,17304.0,2517,1.449,1756,33,1.2,0.145,
778493808,49.0,M,3,High School,Married,$60K - $80K,,37.0,5.0,2,1,3906.0,0,1.214,1756,32,1.0,0.0,
720572508,38.0,F,4,Graduate,Single,Unknown,Blue,28.0,2.0,3,3,9830.0,2055,0.977,1042,23,0.917,0.209,
712661433,49.0,M,4,Uneducated,Single,$80K - $120K,Blue,30.0,3.0,2,3,34516.0,0,1.621,1444,28,1.333,0.0,
789172683,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45.0,6.0,2,0,2283.0,1430,2.316,1741,27,0.588,0.626,
738406533,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,52.0,3.0,2,2,2548.0,2020,2.357,1719,27,1.7,0.793,
799723908,46.0,M,3,High School,Married,$80K - $120K,Blue,40.0,4.0,3,3,19458.0,1435,0.787,1217,27,0.8,0.074,
771490833,52.0,M,1,College,Single,$80K - $120K,Blue,40.0,5.0,1,1,4745.0,1227,0.624,1140,40,0.6,0.259,
720756708,52.0,F,3,Unknown,Married,Less than $40K,Blue,41.0,6.0,3,2,2622.0,1549,1.321,1878,30,1.143,0.591,
779471883,54.0,F,1,Graduate,Married,Less than $40K,Blue,40.0,2.0,3,1,1438.3,808,0.997,705,19,0.9,0.562,
711525033,66.0,F,0,High School,Married,Less than $40K,,54.0,3.0,4,2,3171.0,2179,1.224,1946,38,1.923,0.687,
712813458,49.0,M,2,Unknown,Married,$120K +,Blue,36.0,4.0,2,0,19763.0,2517,0.664,1414,35,0.25,0.127,
714374133,56.0,M,2,Graduate,,$120K +,Blue,36.0,1.0,3,3,15769.0,0,1.041,602,15,0.364,0.0,
717891558,49.0,F,4,Graduate,Unknown,Less than $40K,Blue,36.0,6.0,4,2,3298.0,2200,0.678,1052,32,0.6,0.667,
716632758,49.0,F,3,Graduate,Single,Less than $40K,Blue,36.0,2.0,2,0,2802.0,2363,0.75,1295,40,0.6,0.843,
768563658,56.0,M,2,Uneducated,Married,$40K - $60K,,50.0,4.0,2,3,4458.0,1880,1.107,1424,29,1.417,0.422,
711427458,44.0,F,5,Graduate,Married,Unknown,Blue,,4.0,1,2,6273.0,978,2.275,1359,25,1.083,0.156,
714091983,42.0,M,2,High School,Single,$60K - $80K,,34.0,4.0,4,3,3336.0,1753,0.69,1168,27,1.25,0.525,
787584108,55.0,M,3,Unknown,Married,$80K - $120K,Blue,47.0,4.0,2,3,3436.0,2016,0.901,1097,33,0.833,0.587,
712030833,48.0,M,2,Graduate,,$60K - $80K,Silver,35.0,2.0,4,4,34516.0,0,0.763,691,15,0.5,0.0,
711481533,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3,3,5926.0,1251,0.944,1316,28,1.154,0.211,
710082708,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32.0,2.0,4,2,23957.0,2102,0.997,1276,26,0.733,0.088,
708155733,53.0,M,2,High School,Single,$120K +,Blue,44.0,4.0,2,2,14734.0,1634,0.989,1289,23,0.917,0.111,
788979258,51.0,M,4,Uneducated,Single,$80K - $120K,Silver,38.0,4.0,1,4,34516.0,1515,0.592,1293,32,0.6,0.044,
807986133,57.0,M,2,College,Married,$60K - $80K,Blue,52.0,5.0,3,3,6584.0,1817,0.62,1353,35,0.667,0.276,
788730933,44.0,F,2,Uneducated,,Less than $40K,Blue,20.0,6.0,3,3,2084.0,1468,1.004,1132,28,0.556,0.704,
711314058,49.0,M,2,Graduate,Married,$60K - $80K,Blue,32.0,2.0,2,2,1687.0,1107,1.715,1670,17,2.4,0.656,
717975333,50.0,M,2,Doctorate,Married,$80K - $120K,Blue,38.0,6.0,2,2,25300.0,1330,1.072,837,15,2.0,0.053,
715971108,51.0,M,4,Graduate,Single,$120K +,,42.0,3.0,2,3,34516.0,1763,1.266,1550,41,1.05,0.051,
720096558,55.0,F,2,Graduate,Married,Less than $40K,Blue,42.0,5.0,3,3,2216.0,1034,0.758,1540,36,0.286,0.467,
719580033,54.0,M,1,Graduate,Unknown,$60K - $80K,Blue,43.0,4.0,2,3,2910.0,2030,0.769,1256,21,0.4,0.698,
820582308,42.0,M,5,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2,2,22913.0,1528,0.414,1394,35,0.522,0.067,
789973308,44.0,M,1,College,Single,$60K - $80K,Blue,35.0,,3,3,24312.0,1932,1.312,1341,24,1.182,0.079,
712876233,53.0,M,2,Graduate,,$80K - $120K,,36.0,5.0,3,2,5272.0,1515,0.857,1289,33,0.435,0.287,
804595158,44.0,F,4,Graduate,Single,Less than $40K,Blue,36.0,6.0,4,2,7000.0,2517,0.475,1112,23,1.875,0.36,
714826758,37.0,F,3,Uneducated,,Less than $40K,Blue,29.0,4.0,4,2,7038.0,1801,0.751,2339,57,0.966,0.256,
779058108,49.0,M,3,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1,2,2536.0,1823,0.703,1468,23,0.353,0.719,
710790258,47.0,M,2,Graduate,Married,$80K - $120K,Blue,38.0,6.0,3,2,28904.0,1899,0.85,1334,35,0.4,0.066,
715623483,47.0,M,3,Graduate,,$60K - $80K,Blue,37.0,4.0,4,0,8567.0,1695,1.242,1457,41,1.412,0.198,
715156383,44.0,M,1,Unknown,Unknown,$120K +,Blue,36.0,6.0,2,2,34516.0,1533,0.924,1603,29,0.526,0.044,
711013983,55.0,F,4,Unknown,Married,$40K - $60K,,45.0,2.0,4,3,2158.0,0,0.585,615,12,0.714,0.0,
755420433,59.0,F,1,Graduate,Married,Unknown,Blue,52.0,2.0,3,3,10133.0,1417,0.383,1068,20,0.818,0.14,
794543958,53.0,M,1,Graduate,Divorced,$80K - $120K,Blue,35.0,5.0,4,2,34516.0,1219,1.129,1590,27,2.0,0.035,
716396358,52.0,M,2,Graduate,Married,$60K - $80K,,47.0,5.0,3,0,3085.0,1910,0.921,1531,35,0.667,0.619,
715398033,53.0,M,2,High School,Single,$120K +,Blue,35.0,4.0,2,1,19040.0,2056,0.607,1212,31,0.722,0.108,
711743883,43.0,F,3,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2,3,4026.0,0,0.483,1237,32,0.6,0.0,
719720058,44.0,M,3,High School,Single,$60K - $80K,,31.0,4.0,3,1,12756.0,837,1.932,1413,14,1.8,0.066,
778992108,57.0,M,2,Unknown,Married,$120K +,Blue,45.0,5.0,3,3,5266.0,0,1.702,1516,29,1.636,0.0,
717539808,51.0,F,2,High School,Single,Less than $40K,Blue,36.0,3.0,2,2,9930.0,0,0.731,1276,21,1.333,0.0,
714070758,49.0,M,4,High School,Single,$80K - $120K,Blue,38.0,4.0,3,0,31302.0,1953,0.875,1564,35,2.182,0.062,
714107958,45.0,M,1,Graduate,,$40K - $60K,,36.0,4.0,4,3,6576.0,0,0.579,1465,34,0.619,0.0,
789140283,53.0,M,0,Graduate,Single,$80K - $120K,Blue,,5.0,4,1,2664.0,2037,0.85,1286,29,0.933,0.765,
715550508,45.0,F,3,Unknown,Married,Unknown,Blue,28.0,5.0,1,2,2535.0,2440,1.705,1312,20,1.222,0.963,
719712633,64.0,M,1,Graduate,Married,Less than $40K,Blue,52.0,6.0,4,3,1709.0,895,1.656,1673,32,0.882,0.524,
772629333,45.0,M,3,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4,2,3454.0,1200,0.597,1313,30,0.304,0.347,
720336708,53.0,M,3,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3,2,3789.0,1706,1.047,1609,42,0.68,0.45,
802013583,56.0,M,3,College,Married,$120K +,,50.0,3.0,2,0,9689.0,2250,0.576,1158,19,0.727,0.232,
